Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1,also I was the point person on my company?s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
4,So let?s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
6,"Now you?ll be heading a whole division, so you?ll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
8,But there?ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
12,"All right then, we?ll have a definite answer for you on Monday, but I think I can say with some confidence, you?ll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
29,"Yeah, apparently they?re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn?t shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
58,"Listen, I?m ah, I?m sorry I?ve been so crazy and jealous and, it?s just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
64,Ameri-can. Y'know it?s a,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
77,They didn?t take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
89,"What?! What is with everybody? It?s Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
91,"See, if I?m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
93,I don?t know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
